# x, y, z, fx, fy, fz
-5.0191, 0, 89.5626, 0, 0, 0 
-5.0191, -1.5, 89.5626, 0.00131712, 2.47295e-20, -0.250264 
-5.0191, -1.70408, 89.5626, 0.00790311, 1.48377e-19, -1.50156 
-5.0191, -1.90816, 89.5626, 0.0158097, 2.96816e-19, -3.00281 
-5.0191, -2.11224, 89.5626, 0.0265144, 4.97789e-19, -4.24581 
-5.0191, -2.31633, 89.5626, 0.0451166, 8.4703e-19, -4.75995 
-5.0191, -2.52041, 89.5626, 0.0650733, 1.21544e-18, -5.1463 
-5.0191, -2.72449, 89.5626, 0.0809715, 6.27011e-19, -5.51446 
-5.0191, -2.92857, 89.5626, 0.0886619, -1.89657e-18, -5.84581 
-5.0191, -3.13265, 89.5626, 0.0953491, -4.59352e-18, -6.17207 
-5.0191, -3.33673, 89.5626, 0.101356, -4.14656e-18, -6.46401 
-5.0191, -3.54082, 89.5626, 0.106363, 9.25421e-19, -6.70544 
-5.0191, -3.7449, 89.5626, 0.111266, 6.26391e-18, -6.94175 
-5.0191, -3.94898, 89.5626, 0.11553, 8.85216e-18, -7.14918 
-5.0191, -4.15306, 89.5626, 0.119104, 8.47078e-18, -7.32544 
-5.0191, -4.35714, 89.5626, 0.122607, 7.89927e-18, -7.49841 
-5.0191, -4.56122, 89.5626, 0.125541, 6.66197e-18, -7.64429 
-5.0191, -4.76531, 89.5626, 0.128023, 4.89605e-18, -7.76866 
-5.0191, -4.96939, 89.5626, 0.130441, 3.1622e-18, -7.88984 
-5.0191, -5.17347, 89.5626, 0.132334, 1.9001e-18, -7.98474 
-5.0191, -5.37755, 89.5626, 0.133922, 9.11913e-19, -8.06437 
-5.0191, -5.58163, 89.5626, 0.13543, 1.11847e-19, -8.14005 
-5.0191, -5.78571, 89.5626, 0.136411, 5.78563e-19, -8.18993 
-5.0191, -5.9898, 89.5626, 0.13717, 1.57664e-18, -8.22899 
-5.0191, -6.19388, 89.5626, 0.137824, 2.43759e-18, -8.26258 
-5.0191, -6.39796, 89.5626, 0.137974, 2.6353e-18, -8.27029 
-5.0191, -6.60204, 89.5626, 0.137974, 2.63537e-18, -8.27029 
-5.0191, -6.80612, 89.5626, 0.137824, 2.83647e-18, -8.26258 
-5.0191, -7.0102, 89.5626, 0.13717, 3.71214e-18, -8.22899 
-5.0191, -7.21429, 89.5626, 0.136411, 4.72723e-18, -8.18992 
-5.0191, -7.41837, 89.5626, 0.13543, 5.19376e-18, -8.14004 
-5.0191, -7.62245, 89.5626, 0.133922, 4.35244e-18, -8.06437 
-5.0191, -7.82653, 89.5626, 0.132334, 3.32451e-18, -7.98475 
-5.0191, -8.03061, 89.5626, 0.130441, 2.63023e-18, -7.88986 
-5.0191, -8.23469, 89.5626, 0.128023, 2.5106e-18, -7.76866 
-5.0191, -8.43878, 89.5626, 0.125541, 2.46755e-18, -7.64429 
-5.0191, -8.64286, 89.5626, 0.122607, 3.14205e-18, -7.4984 
-5.0191, -8.84694, 89.5626, 0.119104, 4.7203e-18, -7.32544 
-5.0191, -9.05102, 89.5626, 0.11553, 6.28993e-18, -7.14918 
-5.0191, -9.2551, 89.5626, 0.111266, 6.52728e-18, -6.94175 
-5.0191, -9.45918, 89.5626, 0.106363, 5.53079e-18, -6.70544 
-5.0191, -9.66327, 89.5626, 0.101356, 4.49562e-18, -6.46401 
-5.0191, -9.86735, 89.5626, 0.0953491, 3.55843e-18, -6.17207 
-5.0191, -10.0714, 89.5626, 0.0886618, 2.68785e-18, -5.84581 
-5.0191, -10.2755, 89.5626, 0.0809713, 1.85343e-18, -5.51445 
-5.0191, -10.4796, 89.5626, 0.0650733, 1.30816e-18, -5.14631 
-5.0191, -10.6837, 89.5626, 0.0451167, 9.05871e-19, -4.75996 
-5.0191, -10.8878, 89.5626, 0.0265144, 5.32367e-19, -4.24581 
-5.0191, -11.0918, 89.5626, 0.0158097, 3.17434e-19, -3.0028 
-5.0191, -11.2959, 89.5626, 0.00790309, 1.58684e-19, -1.50156 
-5.0191, -11.5, 89.5626, 0.00131712, 2.64473e-20, -0.250263 
-5.0191, 1.5, 89.5626, 0, 0, 0 
-5.0191, 1.70408, 89.5626, 0, 0, 0 
-5.0191, 1.90816, 89.5626, 0, 0, 0 
-5.0191, 2.11224, 89.5626, 0, 0, 0 
-5.0191, 2.31633, 89.5626, 0, 0, 0 
-5.0191, 2.52041, 89.5626, 0, 0, 0 
-5.0191, 2.72449, 89.5626, 0, 0, 0 
-5.0191, 2.92857, 89.5626, 0, 0, 0 
-5.0191, 3.13265, 89.5626, 0, 0, 0 
-5.0191, 3.33673, 89.5626, 0, 0, 0 
-5.0191, 3.54082, 89.5626, 0, 0, 0 
-5.0191, 3.7449, 89.5626, 0, 0, 0 
-5.0191, 3.94898, 89.5626, 0, 0, 0 
-5.0191, 4.15306, 89.5626, 0, 0, 0 
-5.0191, 4.35714, 89.5626, 0, 0, 0 
-5.0191, 4.56122, 89.5626, 0, 0, 0 
-5.0191, 4.76531, 89.5626, 0, 0, 0 
-5.0191, 4.96939, 89.5626, 0, 0, 0 
-5.0191, 5.17347, 89.5626, 0, 0, 0 
-5.0191, 5.37755, 89.5626, 0, 0, 0 
-5.0191, 5.58163, 89.5626, 0, 0, 0 
-5.0191, 5.78571, 89.5626, 0, 0, 0 
-5.0191, 5.9898, 89.5626, 0, 0, 0 
-5.0191, 6.19388, 89.5626, 0, 0, 0 
-5.0191, 6.39796, 89.5626, 0, 0, 0 
-5.0191, 6.60204, 89.5626, 0, 0, 0 
-5.0191, 6.80612, 89.5626, 0, 0, 0 
-5.0191, 7.0102, 89.5626, 0, 0, 0 
-5.0191, 7.21429, 89.5626, 0, 0, 0 
-5.0191, 7.41837, 89.5626, 0, 0, 0 
-5.0191, 7.62245, 89.5626, 0, 0, 0 
-5.0191, 7.82653, 89.5626, 0, 0, 0 
-5.0191, 8.03061, 89.5626, 0, 0, 0 
-5.0191, 8.23469, 89.5626, 0, 0, 0 
-5.0191, 8.43878, 89.5626, 0, 0, 0 
-5.0191, 8.64286, 89.5626, 0, 0, 0 
-5.0191, 8.84694, 89.5626, 0, 0, 0 
-5.0191, 9.05102, 89.5626, 0, 0, 0 
-5.0191, 9.2551, 89.5626, 0, 0, 0 
-5.0191, 9.45918, 89.5626, 0, 0, 0 
-5.0191, 9.66327, 89.5626, 0, 0, 0 
-5.0191, 9.86735, 89.5626, 0, 0, 0 
-5.0191, 10.0714, 89.5626, 0, 0, 0 
-5.0191, 10.2755, 89.5626, 0, 0, 0 
-5.0191, 10.4796, 89.5626, 0, 0, 0 
-5.0191, 10.6837, 89.5626, 0, 0, 0 
-5.0191, 10.8878, 89.5626, 0, 0, 0 
-5.0191, 11.0918, 89.5626, 0, 0, 0 
-5.0191, 11.2959, 89.5626, 0, 0, 0 
-5.0191, 11.5, 89.5626, 0, 0, 0 
